student_id,course_code,term,has_prerequisites,credits,attendance_rate,midterm_score,final_score,assignment_score,target_passed,past_avg_total_score,past_avg_midterm_score,past_avg_final_score,past_avg_assignment_score,past_avg_attendance,past_pass_rate,courses_taken,dept_pass_rate,prereq_avg_score,prereq_pass_rate
20261037,CS 112,Fall 2023,1,2,88.99,21,27,14,1,52.2,17.0,24.0,11.2,71.682,0.6,5,1.0,59.75,0.75
20261037,HU 112,Spring 2024,1,2,97.71,26,25,16,1,51.2,16.0,24.4,10.8,69.938,0.6,5,0.0,58.5,0.75
20261037,IS 211,Spring 2024,1,2,74.83,20,22,16,1,53.0,17.2,25.0,10.8,74.514,0.6,5,0.0,60.75,0.75
20261037,IS 365,Spring 2024,1,2,41.92,12,26,10,0,55.0,18.8,24.2,12.0,81.09599999999999,0.8,5,1.0,63.25,1.0
20261037,HU 334,Fall 2023,0,4,68.66,2,19,1,0,60.2,20.8,25.6,13.8,75.748,0.8,5,1.0,0.0,0.0
20261037,CS 221,Spring 2024,1,2,75.29,25,28,13,1,51.4,16.2,23.8,11.4,74.422,0.6,5,1.0,58.75,0.75
20262365,IS 334,Spring 2024,0,3,82.13,27,32,16,1,83.0,25.0,40.333333333333336,17.666666666666668,75.12333333333333,1.0,3,1.0,0.0,0.0
20262365,IS 460,Spring 2024,0,4,77.73,23,38,19,1,81.33333333333333,26.333333333333332,38.333333333333336,16.666666666666668,76.58999999999999,1.0,3,1.0,0.0,0.0
20262365,CS 214,Spring 2024,1,4,71.31,22,50,16,1,78.66666666666667,26.666666666666668,34.333333333333336,17.666666666666668,78.73,1.0,3,1.0,81.0,1.0
20262365,IS 498,Fall 2024,1,4,76.33,30,33,18,1,81.0,24.0,40.0,17.0,77.05666666666667,1.0,3,1.0,88.0,1.0
20260829,IS 455,Fall 2023,0,2,76.32,28,37,18,1,75.4,22.2,37.6,15.6,71.46,0.8,5,1.0,0.0,0.0
20260829,IS 421,Spring 2024,0,2,77.66,19,36,20,1,77.0,24.0,37.8,15.2,71.192,0.8,5,1.0,0.0,0.0
20260829,IT 211,Fall 2024,0,4,50.55,20,35,11,1,78.8,23.8,38.0,17.0,76.614,0.8,5,0.8,0.0,0.0
20260829,HU 332,Fall 2023,1,2,75.37,27,40,19,0,74.8,22.4,37.0,15.4,71.64999999999999,1.0,5,1.0,71.0,1.0
